Movie ID,Genre ID
969681,878
969681,28
969681,12
1368337,12
1368337,28
1368337,14
1081003,28
1081003,12
1081003,878
454639,28
454639,14
454639,878
1275779,878
1275779,53
1108427,10751
1108427,14
1108427,35
1108427,12
1339713,27
1339713,53
1284465,12
1284465,18
1284465,28
1084244,16
1084244,10751
1084244,35
1084244,12
980431,16
980431,28
980431,12
980431,14
1083381,27
1083381,9648
1083381,878
1315772,12
1315772,16
1315772,35
1315772,10751
1315772,14
1375646,28
1375646,27
1375646,878
1630409,28
1630409,53
1630409,80
1727780,53
1311031,16
1311031,28
1311031,14
1668364,9648
1668364,18
687163,878
687163,12
1110034,27
1110034,28
1110034,53
634649,28
634649,12
634649,878
1523145,10749
1273221,35
1314481,35
1314481,18
1127384,27
1127384,53
1564614,10749
1564614,27
1228710,28
1228710,12
1228710,878
1698856,878
1698856,28
949838,35
949838,80
936075,10402
936075,18
1318621,14
1318621,10751
1318621,10770
1318621,12
1280738,28
1280738,80
1280738,53
931285,28
931285,14
931285,12
83533,878
83533,12
83533,14
1481343,27
1481343,53
47612,18
47612,10749
1430698,53
1430698,27
1285366,10749
1728704,18
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
278,18
278,80
532794,35
532794,18
532794,10749
1304313,27
1304313,9648
151024,35
1382832,53
1382832,27
1469342,878
1469342,27
1469342,53
98894,35
98894,18
98894,10749
557,28
557,878
1631506,27
1003596,878
1003596,28
1003596,12
157336,12
157336,18
157336,878
329505,18
329505,35
329505,27
1487861,53
1487861,80
1487861,18
1235877,28
1235877,18
1413976,53
1413976,28
1413976,80
1656061,28
1656061,878
1656061,12
1007757,12
1007757,16
1007757,10751
1007757,14
315635,28
315635,12
315635,878
1368314,27
1368314,53
1290821,28
1290821,80
1290821,53
299536,12
299536,28
299536,878
976912,53
976912,80
1327819,12
1327819,16
1327819,35
1327819,10751
1327819,878
1361774,35
1337148,27
1337148,18
755898,878
755898,53
1516698,10749
1516698,18
656908,18
656908,14
656908,28
1419406,28
1419406,80
1419406,18
1419406,53
1439930,28
1439930,18
1439930,80
44980,28
44980,53
652,10752
652,28
652,36
27205,28
27205,878
27205,12
82976,35
82976,18
1307247,28
1307247,35
1567187,27
424711,35
1301421,35
1301421,10751
1301421,9648
89657,18
155,28
155,80
155,53
24428,878
24428,28
24428,12
19995,28
19995,878
19995,12
1443894,27
1443894,37
1443894,53
1443894,28
1491920,18
1491920,35
1491920,28
599335,35
599335,28
1234821,878
1234821,12
1234821,28
1659155,53
1659155,18
1659155,9648
429617,28
429617,12
429617,878
1318447,28
1318447,53
1084242,16
1084242,12
1084242,35
1084242,9648
1084242,10751
122,12
122,14
122,28
238,18
238,80
1212763,27
617126,878
617126,12
617126,28
393392,80
393392,18
393392,10749
1595852,10749
1595852,18
671,12
671,14
872585,18
872585,36
1321008,27
1321008,53
550,18
550,53
1930,28
1930,12
1930,878
569094,16
569094,28
569094,12
569094,878
603,28
603,878
862,10751
862,35
862,16
862,12
559,28
559,12
559,878
872585,18
872585,36
424711,35
120,12
120,14
120,28
822119,28
822119,53
822119,878
533535,28
533535,35
533535,878
1184918,10751
1184918,16
1184918,878
1184918,12
680,53
680,80
680,35
1595852,10749
1595852,18
1368166,9648
1368166,53
803796,14
803796,10402
803796,35
803796,16
597,18
597,10749
1305781,28
1305781,12
840464,12
840464,53
840464,878
1321008,27
1321008,53
1061474,878
1061474,12
1061474,28
1241982,12
1241982,16
1241982,35
1241982,10751
1241982,14
1301310,27
1301310,36
803796,14
803796,10402
803796,35
803796,16
1184918,10751
1184918,16
1184918,878
1184918,12
11,12
11,28
11,878
1175942,10751
1175942,35
1175942,80
1175942,12
1175942,16
299534,12
299534,878
299534,28
271110,12
271110,28
271110,878
448772,18
448772,35
687259,27
597,18
597,10749
1265609,28
1265609,878
1265609,53
11770,28
11770,35
614945,10749
614945,35
614945,18
121,12
121,14
121,28
385687,28
385687,80
385687,53
1325734,10749
1325734,35
1325734,18
1380291,28
1380291,53
497,14
497,18
497,80
496243,35
496243,53
496243,18
